Младший разработчик 1 категории,10000,11494.25
Младший разработчик 2 категории,15000,17241.38
Младший разработчик 3 категории,20000,22988.51
Младший разработчик 4 категории,25000,28735.63
Младший разработчик 5 категории,30000,34482.76
Младший разработчик 6 категории,35000,40229.89
Младший разработчик 7 категории,40000,45977.01
Разработчик 1 категории,50000,57471.26
Разработчик 2 категории,60000,68965.52
Разработчик 3 категории,70000,80459.77
Разработчик 4 категории,80000,91954.02
Разработчик 5 категории,90000,103448.28
Ведущий разработчик 1 категории,100000,114942.53
Ведущий разработчик 2 категории,110000,126436.78
Ведущий разработчик 3 категории,120000,137931.03
Ведущий разработчик 4 категории,130000,149425.29
Ведущий разработчик 5 категории,140000,160919.54
Ведущий разработчик 6 категории,150000,172413.79
Ведущий разработчик 7 категории,160000,183908.05
Ведущий разработчик 8 категории,170000,195402.3
Ведущий разработчик 9 категории,180000,206896.55
Ведущий разработчик 10 категории,190000,218390.8
Ведущий разработчик 11 категории,200000,229885.06
